stm	Identifier	TargetImage	DistImage	TagetLoc	DistLoc	Expected	AudioFile	Trial_Type	IAS	BLOCK	Condition	Syllables	TargetLocation_ListA_1	DistractorLocation_ListA1	List
42	42	7_A_Pen_Rhyme.jpg	7_B_Men_Rhyme.jpg	"(1180, 524)"	"(500, 524)"	"(1180, 524)"	pen_Rhyme.wav	Exp	42.ias	1	Rhyme	1	Right	Left	A1
43	43	4_A_Cheese_Baseline.jpg	4_B_Teeth_Baseline.jpg	"(500, 524)"	"(1180, 524)"	"(500, 524)"	cheese_Baseline.wav	Exp	43.ias	1	Unrelated	1	Left	Right	A1
44	44	16_A_Sandal_Rhyme.jpg	16_B_Candle_Rhyme.jpg	"(500, 524)"	"(1180, 524)"	"(500, 524)"	sandal_Rhyme.wav	Exp	44.ias	1	Rhyme	2	Left	Right	A1
45	45	3_A_Book_Baseline.jpg	3_B_Nose_Baseline.jpg	"(1180, 524)"	"(500, 524)"	"(1180, 524)"	book_Baseline.wav	Exp	45.ias	1	Unrelated	1	Right	Left	A1
46	46	5_A_Coat_Cohort.jpg	5_B_Comb_Cohort.jpg	"(500, 524)"	"(1180, 524)"	"(500, 524)"	coat_Cohort.wav	Exp	46.ias	1	Cohort	1	Left	Right	A1
47	47	12_A_Candy_Cohort.jpg	12_B_Camera_Cohort.jpg	"(500, 524)"	"(1180, 524)"	"(500, 524)"	candy_Cohort.wav	Exp	47.ias	1	Cohort	2	Left	Right	A1
48	48	1_A_Bear_Baseline.jpg	1_B_Pants_Baseline.jpg	"(500, 524)"	"(1180, 524)"	"(500, 524)"	bear_Baseline.wav	Exp	48.ias	1	Unrelated	1	Left	Right	A1
49	49	18_A_Sweater_Rhyme.jpg	18_B_Letter_Rhyme.jpg	"(1180, 524)"	"(500, 524)"	"(1180, 524)"	sweater_Rhyme.wav	Exp	49.ias	1	Rhyme	2	Right	Left	A1
50	50	13_A_Chicken_Cohort.jpg	13_B_Children_Cohort.jpg	"(500, 524)"	"(1180, 524)"	"(500, 524)"	chicken_Cohort.wav	Exp	50.ias	1	Cohort	2	Left	Right	A1
51	51	10_A_Basket_Baseline.jpg	10_B_Police_Baseline.jpg	"(1180, 524)"	"(500, 524)"	"(1180, 524)"	basket_Baseline.wav	Exp	51.ias	1	Unrelated	2	Right	Left	A1
52	52	14_A_Mitten_Rhyme.jpg	14_B_Kitten_Rhyme.jpg	"(1180, 524)"	"(500, 524)"	"(1180, 524)"	mitten_Rhyme.wav	Exp	52.ias	1	Rhyme	2	Right	Left	A1
53	53	2_A_Bed_Cohort.jpg	2_B_Belt_Cohort.jpg	"(500, 524)"	"(1180, 524)"	"(500, 524)"	bed_Cohort.wav	Exp	53.ias	1	Cohort	1	Left	Right	A1
54	54	4_A_Sand_Rhyme.jpg	4_B_Hand_Rhyme.jpg	"(500, 524)"	"(1180, 524)"	"(500, 524)"	sand_Rhyme.wav	Exp	54.ias	1	Rhyme	1	Left	Right	A1
