stm	Identifer	TargetImage	DistImage	TagetLoc	DistLoc	Expected	AudioFile	Trial_Type	IAS	BLOCK	Condition	Syllables	TargetLocation_ListB_2	DistractorLocation_ListB2	List
1	1	8_B_Mouth_Cohort.jpg	8_A_Mouse_Cohort.jpg	"(1180, 524)"	"(500, 524)"	"(1180, 524)"	mouth2_Cohort.wav	Exp	1.ias	1	Cohort	1	Right	Left	B2
2	2	18_B_Letter_Rhyme.jpg	18_A_Sweater_Rhyme.jpg	"(500, 524)"	"(1180, 524)"	"(500, 524)"	letter_Rhyme.wav	Exp	2.ias	1	Rhyme	2	Left	Right	B2
3	3	4_B_Clown_Cohort.jpg	4_A_Cloud_Cohort.jpg	"(500, 524)"	"(1180, 524)"	"(500, 524)"	clown_Cohort.wav	Exp	3.ias	1	Cohort	1	Left	Right	B2
4	4	2_B_Sock_Baseline.jpg	2_A_Bird_Baseline.jpg	"(1180, 524)"	"(500, 524)"	"(1180, 524)"	sock_Baseline.wav	Exp	4.ias	1	Unrelated	1	Right	Left	B2
5	5	15_B_Penny_Cohort.jpg	15_A_Penguin_Cohort.jpg	"(1180, 524)"	"(500, 524)"	"(1180, 524)"	penny_Cohort.wav	Exp	5.ias	1	Cohort	2	Right	Left	B2
6	6	2_B_Hat_Rhyme.jpg	2_A_Cat_Rhyme.jpg	"(500, 524)"	"(1180, 524)"	"(500, 524)"	hat_Rhyme.wav	Exp	6.ias	1	Rhyme	1	Left	Right	B2
7	7	14_B_Pumpkin_Baseline.jpg	14_A_Hammer_Baseline.jpg	"(500, 524)"	"(1180, 524)"	"(500, 524)"	pumpkin_Baseline.wav	Exp	7.ias	1	Unrelated	2	Left	Right	B2
8	8	17_B_Pocket_Rhyme.jpg	17_A_Rocket_Rhyme_3.jpg	"(500, 524)"	"(1180, 524)"	"(500, 524)"	pocket_Rhyme.wav	Exp	8.ias	1	Rhyme	2	Left	Right	B2
9	9	16_B_Pickle_Cohort.jpg	16_A_Pillow_Cohort.jpg	"(500, 524)"	"(1180, 524)"	"(500, 524)"	pickle_Cohort.wav	Exp	9.ias	1	Cohort	2	Left	Right	B2
10	10	8_B_Juice_Baseline.jpg	8_A_Doll_Baseline.jpg	"(500, 524)"	"(1180, 524)"	"(500, 524)"	juice_Baseline.wav	Exp	10.ias	1	Unrelated	1	Left	Right	B2
11	11	6_B_Cows_Cohort.jpg	6_A_Couch_Cohort.jpg	"(1180, 524)"	"(500, 524)"	"(1180, 524)"	cows_Cohort.wav	Exp	11.ias	1	Cohort	1	Right	Left	B2
12	12	5_B_Car_Rhyme.jpg	5_A_Star_Rhyme.jpg	"(1180, 524)"	"(500, 524)"	"(1180, 524)"	car_Rhyme.wav	Exp	12.ias	1	Rhyme	1	Right	Left	B2
13	13	18_B_Cookie_Baseline.jpg	18_A_Shovel_Baseline.jpg	"(1180, 524)"	"(500, 524)"	"(1180, 524)"	cookies_Baseline.wav	Exp	13.ias	1	Unrelated	2	Right	Left	B2
14	14	1_B_Rake_Rhyme.jpg	1_A_Cake_Rhyme.jpg	"(1180, 524)"	"(500, 524)"	"(1180, 524)"	rake_Rhyme.wav	Exp	14.ias	1	Rhyme	1	Right	Left	B2
15	15	11_B_Button_Cohort.jpg	11_A_Bunny_Cohort.jpg	"(1180, 524)"	"(500, 524)"	"(1180, 524)"	button_Cohort.wav	Exp	15.ias	1	Cohort	2	Right	Left	B2
